Filename,Image_Type,Pair,Level_Engagement,Actual_Status
conversation_1772190756395_annotated.jpg,Annotated,"[1, 2]",,
conversation_1772190756395_annotated.jpg,Annotated,"[1, 3]",,
conversation_1772190756395_annotated.jpg,Annotated,"[1, 4]",,
conversation_1772190756395_annotated.jpg,Annotated,"[2, 3]",,
conversation_1772190756395_annotated.jpg,Annotated,"[2, 4]",,
conversation_1772190756395_annotated.jpg,Annotated,"[3, 4]",,
conversation_1772190756395_depth.png,Depth,"[1, 2]",,
conversation_1772190756395_depth.png,Depth,"[1, 3]",,
conversation_1772190756395_depth.png,Depth,"[1, 4]",,
conversation_1772190756395_depth.png,Depth,"[2, 3]",,
conversation_1772190756395_depth.png,Depth,"[2, 4]",,
conversation_1772190756395_depth.png,Depth,"[3, 4]",,
conversation_1772190756395_raw.jpg,Raw,"[1, 2]",,
conversation_1772190756395_raw.jpg,Raw,"[1, 3]",,
conversation_1772190756395_raw.jpg,Raw,"[1, 4]",,
conversation_1772190756395_raw.jpg,Raw,"[2, 3]",,
conversation_1772190756395_raw.jpg,Raw,"[2, 4]",,
conversation_1772190756395_raw.jpg,Raw,"[3, 4]",,
conversation_1772190810973_annotated.jpg,Annotated,"[1, 2]",,
conversation_1772190810973_annotated.jpg,Annotated,"[1, 3]",,
conversation_1772190810973_annotated.jpg,Annotated,"[1, 4]",,
conversation_1772190810973_annotated.jpg,Annotated,"[2, 3]",,
conversation_1772190810973_annotated.jpg,Annotated,"[2, 4]",,
conversation_1772190810973_annotated.jpg,Annotated,"[3, 4]",,
conversation_1772190810973_depth.png,Depth,"[1, 2]",,
conversation_1772190810973_depth.png,Depth,"[1, 3]",,
conversation_1772190810973_depth.png,Depth,"[1, 4]",,
conversation_1772190810973_depth.png,Depth,"[2, 3]",,
conversation_1772190810973_depth.png,Depth,"[2, 4]",,
conversation_1772190810973_depth.png,Depth,"[3, 4]",,
conversation_1772190810973_raw.jpg,Raw,"[1, 2]",,
conversation_1772190810973_raw.jpg,Raw,"[1, 3]",,
conversation_1772190810973_raw.jpg,Raw,"[1, 4]",,
conversation_1772190810973_raw.jpg,Raw,"[2, 3]",,
conversation_1772190810973_raw.jpg,Raw,"[2, 4]",,
conversation_1772190810973_raw.jpg,Raw,"[3, 4]",,
conversation_1772190840400_annotated.jpg,Annotated,"[1, 2]",,
conversation_1772190840400_annotated.jpg,Annotated,"[1, 3]",,
conversation_1772190840400_annotated.jpg,Annotated,"[1, 4]",,
conversation_1772190840400_annotated.jpg,Annotated,"[2, 3]",,
conversation_1772190840400_annotated.jpg,Annotated,"[2, 4]",,
conversation_1772190840400_annotated.jpg,Annotated,"[3, 4]",,
conversation_1772190840400_depth.png,Depth,"[1, 2]",,
conversation_1772190840400_depth.png,Depth,"[1, 3]",,
conversation_1772190840400_depth.png,Depth,"[1, 4]",,
conversation_1772190840400_depth.png,Depth,"[2, 3]",,
conversation_1772190840400_depth.png,Depth,"[2, 4]",,
conversation_1772190840400_depth.png,Depth,"[3, 4]",,
conversation_1772190840400_raw.jpg,Raw,"[1, 2]",,
conversation_1772190840400_raw.jpg,Raw,"[1, 3]",,
conversation_1772190840400_raw.jpg,Raw,"[1, 4]",,
conversation_1772190840400_raw.jpg,Raw,"[2, 3]",,
conversation_1772190840400_raw.jpg,Raw,"[2, 4]",,
conversation_1772190840400_raw.jpg,Raw,"[3, 4]",,
conversation_1772190876271_annotated.jpg,Annotated,"[1, 2]",,
conversation_1772190876271_annotated.jpg,Annotated,"[1, 3]",,
conversation_1772190876271_annotated.jpg,Annotated,"[1, 4]",,
conversation_1772190876271_annotated.jpg,Annotated,"[2, 3]",,
conversation_1772190876271_annotated.jpg,Annotated,"[2, 4]",,
conversation_1772190876271_annotated.jpg,Annotated,"[3, 4]",,
conversation_1772190876271_raw.jpg,Raw,"[1, 2]",,
conversation_1772190876271_raw.jpg,Raw,"[1, 3]",,
conversation_1772190876271_raw.jpg,Raw,"[1, 4]",,
conversation_1772190876271_raw.jpg,Raw,"[2, 3]",,
conversation_1772190876271_raw.jpg,Raw,"[2, 4]",,
conversation_1772190876271_raw.jpg,Raw,"[3, 4]",,
conversation_1772191002323_raw.jpg,Raw,"[1, 2]",,
conversation_1772191002323_raw.jpg,Raw,"[1, 3]",,
conversation_1772191002323_raw.jpg,Raw,"[1, 4]",,
conversation_1772191002323_raw.jpg,Raw,"[2, 3]",,
conversation_1772191002323_raw.jpg,Raw,"[2, 4]",,
conversation_1772191002323_raw.jpg,Raw,"[3, 4]",,
conversation_1772191065053_annotated.jpg,Annotated,"[1, 2]",,
conversation_1772191065053_annotated.jpg,Annotated,"[1, 3]",,
conversation_1772191065053_annotated.jpg,Annotated,"[1, 4]",,
conversation_1772191065053_annotated.jpg,Annotated,"[2, 3]",,
conversation_1772191065053_annotated.jpg,Annotated,"[2, 4]",,
conversation_1772191065053_annotated.jpg,Annotated,"[3, 4]",,
conversation_1772191065053_depth.png,Depth,"[1, 2]",,
conversation_1772191065053_depth.png,Depth,"[1, 3]",,
conversation_1772191065053_depth.png,Depth,"[1, 4]",,
conversation_1772191065053_depth.png,Depth,"[2, 3]",,
conversation_1772191065053_depth.png,Depth,"[2, 4]",,
conversation_1772191065053_depth.png,Depth,"[3, 4]",,
conversation_1772191065053_raw.jpg,Raw,"[1, 2]",,
conversation_1772191065053_raw.jpg,Raw,"[1, 3]",,
conversation_1772191065053_raw.jpg,Raw,"[1, 4]",,
conversation_1772191065053_raw.jpg,Raw,"[2, 3]",,
conversation_1772191065053_raw.jpg,Raw,"[2, 4]",,
conversation_1772191065053_raw.jpg,Raw,"[3, 4]",,
conversation_1772191072086_annotated.jpg,Annotated,"[1, 2]",,
conversation_1772191072086_annotated.jpg,Annotated,"[1, 3]",,
conversation_1772191072086_annotated.jpg,Annotated,"[1, 4]",,
conversation_1772191072086_annotated.jpg,Annotated,"[2, 3]",,
conversation_1772191072086_annotated.jpg,Annotated,"[2, 4]",,
conversation_1772191072086_annotated.jpg,Annotated,"[3, 4]",,
conversation_1772191072086_depth.png,Depth,"[1, 2]",,
conversation_1772191072086_depth.png,Depth,"[1, 3]",,
conversation_1772191072086_depth.png,Depth,"[1, 4]",,
conversation_1772191072086_depth.png,Depth,"[2, 3]",,
conversation_1772191072086_depth.png,Depth,"[2, 4]",,
conversation_1772191072086_depth.png,Depth,"[3, 4]",,
conversation_1772191072086_raw.jpg,Raw,"[1, 2]",,
conversation_1772191072086_raw.jpg,Raw,"[1, 3]",,
conversation_1772191072086_raw.jpg,Raw,"[1, 4]",,
conversation_1772191072086_raw.jpg,Raw,"[2, 3]",,
conversation_1772191072086_raw.jpg,Raw,"[2, 4]",,
conversation_1772191072086_raw.jpg,Raw,"[3, 4]",,
ignoring_1772191117906_annotated.jpg,Annotated,"[1, 2]",,
ignoring_1772191117906_annotated.jpg,Annotated,"[1, 3]",,
ignoring_1772191117906_annotated.jpg,Annotated,"[1, 4]",,
ignoring_1772191117906_annotated.jpg,Annotated,"[2, 3]",,
ignoring_1772191117906_annotated.jpg,Annotated,"[2, 4]",,
ignoring_1772191117906_annotated.jpg,Annotated,"[3, 4]",,
ignoring_1772191117906_depth.png,Depth,"[1, 2]",,
ignoring_1772191117906_depth.png,Depth,"[1, 3]",,
ignoring_1772191117906_depth.png,Depth,"[1, 4]",,
ignoring_1772191117906_depth.png,Depth,"[2, 3]",,
ignoring_1772191117906_depth.png,Depth,"[2, 4]",,
ignoring_1772191117906_depth.png,Depth,"[3, 4]",,
ignoring_1772191117906_raw.jpg,Raw,"[1, 2]",,
ignoring_1772191117906_raw.jpg,Raw,"[1, 3]",,
ignoring_1772191117906_raw.jpg,Raw,"[1, 4]",,
ignoring_1772191117906_raw.jpg,Raw,"[2, 3]",,
ignoring_1772191117906_raw.jpg,Raw,"[2, 4]",,
ignoring_1772191117906_raw.jpg,Raw,"[3, 4]",,
ignoring_1772191121089_annotated.jpg,Annotated,"[1, 2]",,
ignoring_1772191121089_annotated.jpg,Annotated,"[1, 3]",,
ignoring_1772191121089_annotated.jpg,Annotated,"[1, 4]",,
ignoring_1772191121089_annotated.jpg,Annotated,"[2, 3]",,
ignoring_1772191121089_annotated.jpg,Annotated,"[2, 4]",,
ignoring_1772191121089_annotated.jpg,Annotated,"[3, 4]",,
ignoring_1772191121089_depth.png,Depth,"[1, 2]",,
ignoring_1772191121089_depth.png,Depth,"[1, 3]",,
ignoring_1772191121089_depth.png,Depth,"[1, 4]",,
ignoring_1772191121089_depth.png,Depth,"[2, 3]",,
ignoring_1772191121089_depth.png,Depth,"[2, 4]",,
ignoring_1772191121089_depth.png,Depth,"[3, 4]",,
ignoring_1772191121089_raw.jpg,Raw,"[1, 2]",,
ignoring_1772191121089_raw.jpg,Raw,"[1, 3]",,
ignoring_1772191121089_raw.jpg,Raw,"[1, 4]",,
ignoring_1772191121089_raw.jpg,Raw,"[2, 3]",,
ignoring_1772191121089_raw.jpg,Raw,"[2, 4]",,
ignoring_1772191121089_raw.jpg,Raw,"[3, 4]",,
ignoring_1772191135272_annotated.jpg,Annotated,"[1, 2]",,
ignoring_1772191135272_annotated.jpg,Annotated,"[1, 3]",,
ignoring_1772191135272_annotated.jpg,Annotated,"[1, 4]",,
ignoring_1772191135272_annotated.jpg,Annotated,"[2, 3]",,
ignoring_1772191135272_annotated.jpg,Annotated,"[2, 4]",,
ignoring_1772191135272_annotated.jpg,Annotated,"[3, 4]",,
ignoring_1772191135272_depth.png,Depth,"[1, 2]",,
ignoring_1772191135272_depth.png,Depth,"[1, 3]",,
ignoring_1772191135272_depth.png,Depth,"[1, 4]",,
ignoring_1772191135272_depth.png,Depth,"[2, 3]",,
ignoring_1772191135272_depth.png,Depth,"[2, 4]",,
ignoring_1772191135272_depth.png,Depth,"[3, 4]",,
ignoring_1772191135272_raw.jpg,Raw,"[1, 2]",,
ignoring_1772191135272_raw.jpg,Raw,"[1, 3]",,
ignoring_1772191135272_raw.jpg,Raw,"[1, 4]",,
ignoring_1772191135272_raw.jpg,Raw,"[2, 3]",,
ignoring_1772191135272_raw.jpg,Raw,"[2, 4]",,
ignoring_1772191135272_raw.jpg,Raw,"[3, 4]",,
ignoring_1772191143087_annotated.jpg,Annotated,"[1, 2]",,
ignoring_1772191143087_annotated.jpg,Annotated,"[1, 3]",,
ignoring_1772191143087_annotated.jpg,Annotated,"[1, 4]",,
ignoring_1772191143087_annotated.jpg,Annotated,"[2, 3]",,
ignoring_1772191143087_annotated.jpg,Annotated,"[2, 4]",,
ignoring_1772191143087_annotated.jpg,Annotated,"[3, 4]",,
ignoring_1772191143087_depth.png,Depth,"[1, 2]",,
ignoring_1772191143087_depth.png,Depth,"[1, 3]",,
ignoring_1772191143087_depth.png,Depth,"[1, 4]",,
ignoring_1772191143087_depth.png,Depth,"[2, 3]",,
ignoring_1772191143087_depth.png,Depth,"[2, 4]",,
ignoring_1772191143087_depth.png,Depth,"[3, 4]",,
ignoring_1772191143087_raw.jpg,Raw,"[1, 2]",,
ignoring_1772191143087_raw.jpg,Raw,"[1, 3]",,
ignoring_1772191143087_raw.jpg,Raw,"[1, 4]",,
ignoring_1772191143087_raw.jpg,Raw,"[2, 3]",,
ignoring_1772191143087_raw.jpg,Raw,"[2, 4]",,
ignoring_1772191143087_raw.jpg,Raw,"[3, 4]",,
ignoring_1772191145124_annotated.jpg,Annotated,"[1, 2]",,
ignoring_1772191145124_annotated.jpg,Annotated,"[1, 3]",,
ignoring_1772191145124_annotated.jpg,Annotated,"[1, 4]",,
ignoring_1772191145124_annotated.jpg,Annotated,"[2, 3]",,
ignoring_1772191145124_annotated.jpg,Annotated,"[2, 4]",,
ignoring_1772191145124_annotated.jpg,Annotated,"[3, 4]",,
photography_1772190468511_annotated.jpg,Annotated,"[1, 2]",,
photography_1772190468511_annotated.jpg,Annotated,"[1, 3]",,
photography_1772190468511_annotated.jpg,Annotated,"[1, 4]",,
photography_1772190468511_annotated.jpg,Annotated,"[2, 3]",,
photography_1772190468511_annotated.jpg,Annotated,"[2, 4]",,
photography_1772190468511_annotated.jpg,Annotated,"[3, 4]",,
photography_1772190468511_depth.png,Depth,"[1, 2]",,
photography_1772190468511_depth.png,Depth,"[1, 3]",,
photography_1772190468511_depth.png,Depth,"[1, 4]",,
photography_1772190468511_depth.png,Depth,"[2, 3]",,
photography_1772190468511_depth.png,Depth,"[2, 4]",,
photography_1772190468511_depth.png,Depth,"[3, 4]",,
