Image_Type,Category,Total_Evaluated,Correct_Predictions,Accuracy_Percentage
Annotated,OVERALL_NAVIGATION_DECISION,165,107,64.8
Annotated,Scenario: Conversation,18,9,50.0
Annotated,Scenario: Ignoring,11,10,90.9
Annotated,Scenario: Photography,6,4,66.7
Annotated,Scenario: Playing,38,32,84.2
Annotated,Scenario: Presenting,32,19,59.4
Annotated,Scenario: Proxemics,22,9,40.9
Annotated,Scenario: Sharedtask,38,24,63.2
Depth,OVERALL_NAVIGATION_DECISION,150,107,71.3
Depth,Scenario: Conversation,18,16,88.9
Depth,Scenario: Ignoring,12,4,33.3
Depth,Scenario: Photography,6,6,100.0
Depth,Scenario: Playing,37,29,78.4
Depth,Scenario: Presenting,32,27,84.4
Depth,Scenario: Proxemics,15,6,40.0
Depth,Scenario: Sharedtask,30,19,63.3
Raw,OVERALL_NAVIGATION_DECISION,164,126,76.8
Raw,Scenario: Conversation,18,15,83.3
Raw,Scenario: Ignoring,11,5,45.5
Raw,Scenario: Photography,6,5,83.3
Raw,Scenario: Playing,38,37,97.4
Raw,Scenario: Presenting,32,25,78.1
Raw,Scenario: Proxemics,22,7,31.8
Raw,Scenario: Sharedtask,37,32,86.5
