Image_Type,Category,Total_Evaluated,Correct_Predictions,Accuracy_Percentage
Raw,OVERALL_NAVIGATION_DECISION,718,368,51.3
Raw,Scenario: Conversation,86,39,45.3
Raw,Scenario: Ignoring,60,49,81.7
Raw,Scenario: Photography,25,13,52.0
Raw,Scenario: Playing,127,108,85.0
Raw,Scenario: Presenting,215,70,32.6
Raw,Scenario: Proxemics,64,29,45.3
Raw,Scenario: Sharedtask,141,60,42.6
Annotated,OVERALL_NAVIGATION_DECISION,668,288,43.1
Annotated,Scenario: Conversation,83,27,32.5
Annotated,Scenario: Ignoring,57,45,78.9
Annotated,Scenario: Photography,25,9,36.0
Annotated,Scenario: Playing,121,67,55.4
Annotated,Scenario: Presenting,182,57,31.3
Annotated,Scenario: Proxemics,62,33,53.2
Annotated,Scenario: Sharedtask,138,50,36.2
Grayscale,OVERALL_NAVIGATION_DECISION,661,301,45.5
Grayscale,Scenario: Conversation,83,26,31.3
Grayscale,Scenario: Ignoring,57,47,82.5
Grayscale,Scenario: Photography,18,7,38.9
Grayscale,Scenario: Playing,124,84,67.7
Grayscale,Scenario: Presenting,182,52,28.6
Grayscale,Scenario: Proxemics,62,37,59.7
Grayscale,Scenario: Sharedtask,135,48,35.6
Depth,OVERALL_NAVIGATION_DECISION,374,247,66.0
Depth,Scenario: Conversation,40,38,95.0
Depth,Scenario: Ignoring,30,9,30.0
Depth,Scenario: Photography,12,10,83.3
Depth,Scenario: Playing,104,81,77.9
Depth,Scenario: Presenting,98,71,72.4
Depth,Scenario: Proxemics,19,7,36.8
Depth,Scenario: Sharedtask,71,31,43.7
